origin,zone_30,zone_32,zone_35,zone_37,zone_39,zone_46,zone_48,zone_50,zone_54,zone_61,zone_95,zone_98,zone_6,zone_16,zone_19,zone_84,zone_89,zone_101,zone_18,zone_41,zone_44,zone_49,zone_62,zone_77,zone_107,zone_8,zone_26,zone_99,zone_0,zone_3,zone_20,zone_29,zone_55,zone_68,zone_75,zone_94,zone_110,zone_7,zone_12,zone_33,zone_57,zone_74,zone_47,zone_51,zone_103,zone_9,zone_27,zone_36,zone_40,zone_91,zone_108,zone_28,zone_52,zone_60,zone_67,zone_69,zone_82,zone_105,zone_31,zone_65,zone_87,zone_93,zone_102,zone_104,zone_70,zone_88,zone_24,zone_85,zone_86,zone_96,zone_10,zone_17,zone_63,zone_81,zone_22,zone_23,zone_43,zone_92,zone_38,zone_1,zone_4,zone_76,zone_78,zone_79,zone_2,zone_90,zone_21,zone_58,zone_97,zone_56,zone_34,zone_80,zone_83,zone_100,zone_64,zone_5,zone_45,zone_71,zone_11,zone_13,zone_73,zone_15,zone_59,zone_109,zone_53,zone_14,zone_72,zone_66,zone_106,zone_25
zone_75,1847.0,,,,,,,,,,,,,890.0,,,,,,,,,,,,,,,,,,,814.0,,,,,,,,,,,,,,,,,1259.0,,,,,,,,,,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,1198.0,,,,,,,,1475.0,,,1348.0,,,,,,,1576.0,,,,,,
zone_25,,,,,,,,,,,,,958.0,,961.0,,,,,,,,,,,1141.0,,,,,1241.0,,,,,,,,,,,,,,,1230.0,,,,585.0,,,,,1899.0,,,,,,,,,,,282.0,,,,,,,1648.0,,351.0,,,,,,,,,,,,,,,1492.0,,,1076.0,,,,,,,1229.0,,,1662.0,1010.0,,,,,,
zone_93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204.0,,,,,,941.0,,1562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,,,,,,,,,,,,,,,,,,,,,
zone_83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.0,1485.0,,,,,,954.0,,,,,,,,,,,,,,,1415.0,,,,,,,,,,,,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.0,,,,,,,
zone_86,,,,,,,,,,,1029.0,,,,,466.0,,,,,,,,,,1144.0,,,,849.0,,,,,1093.0,,,,,,,,,,,1221.0,,,,,,,,,1333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.0,,,,,,,,456.0,,,,,,,,,
zone_85,,,,,,,,,,,,,,,,,,,,,,1639.0,,,,,,,,,,,,,,,,1103.0,,,,,,,,,1365.0,,,,,,1564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.0,,,,,,1319.0,,,,,
zone_87,,,1240.0,,,,,,,,884.0,,,,,,,,,,,,1162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297.0,,,,,,,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_84,,,,,1532.0,,,,,,,,,,,,,1083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0,,,,,1054.0,,,,,,,1215.0,
zone_82,,,,,,,,,,,,,,,,,,,,,,,,996.0,,,,,,,,,,,,,,,,,,,,,,1172.0,,1636.0,,,,,,,,,,1307.0,,,,,,,,,,,,,,,,,,,,,1608.0,,,,,,,,,,1021.0,,,,,,,,,,,,591.0,,,,,,,,,
zone_71,,,,,,,,1615.0,1092.0,,1510.0,,,,,,,,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,1474.0,,,,,,928.0,,,,,,,,,,1915.0,,,,,,,,1069.0,1333.0,,,,,,,,,,,,,,,,,,,,,1760.0,
zone_89,,,,,,1618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,,,,,,,,,,,,,,,,,,,,,1104.0,,,,,693.0,,,,,,,,,1365.0,,,,,,,,,,,,
zone_91,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.0,,,,,,,,,,1155.0,,,,,,1804.0,1276.0,,,,,,,,,,,,,,,1254.0,,,,,819.0,,,,,,,920.0,1246.0,,,,,,,,,,,1108.0,,,,,,,,,,,,,,,,827.0,,,,,,,,,1093.0,
zone_48,,,,,,,,,,,,,,,,,,1506.0,,,,,,,,,,,,,,,,,,,,,,,,,,482.0,,,,,,,,,,,994.0,,,,,,,,,,1274.0,,,,,,,,,,,,,,1004.0,1001.0,,,,,,,,,,388.0,,,,,,,,,618.0,,,,,,,,,,,
zone_72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067.0,,,,,,,,,,,,,,,,,,,,,951.0,,,,,,,752.0,,,,,,,,,,,,,,,,,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_19,,,898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.0,,,,,,,,,,,,,,,,,,,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,,,,,,,,616.0,,,
zone_79,,,,,,,1733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584.0,,,,,,,,,,,,,,,,,,668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,,,,,,,,,,,,,,,,1426.0
zone_64,,,,,,,,,,,,,786.0,,,1445.0,,1625.0,,,988.0,,,,,,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586.0,,,,,,,,,,,,,,,,,,,,,1425.0,,,857.0,,1250.0,,,,,,,,,,,,,,,,,959.0,,,,,231.0,,,1456.0,1230.0
zone_54,,,,,,,,,,,,,,,,,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465.0,,,,,,,,,,,,,,,,,,,,,,1135.0,,,,,,,,,,,,,,,,,1328.0,,,,,,,,1017.0,,,,,,,,,,,,,,470.0,,,1649.0,
zone_56,,,,,,,403.0,,,,,,,,,,,,,,,,,,,,,,,,856.0,,,,,,,570.0,,,,,,,,,,1194.0,,,,,,,,,,,,,,,,,,,1087.0,,,,,,,,,,,,,,,,,,975.0,,,,1839.0,,,,,,,,,,,,,,,1658.0,,,,,,
zone_32,,,,,,,,,,,917.0,844.0,,,,,,,1411.0,,,,,,,,,,,,,,,,2029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.0,,,1708.0,,,,,,,,,,1219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_36,,,,,,,,,,,,,,,1507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.0,,,,,,,1898.0,,,,,,,,,,,,,,,,,,1617.0,,1212.0,,,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_6,,,,,,679.0,,,,,,,,,,,,,846.0,,,,,,,,,,,,,,,,,,,,,,,,828.0,,,,,,,,918.0,,,,,,,,,1202.0,,,,,,,,,,,806.0,,,,,,,,,,,1181.0,,,,,,,,,,,,,919.0,302.0,,,,821.0,,,,,,850.0,,,,
zone_5,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.0,,,,,,,,,,,,,,,,,,,,,,,,,1009.0,,,,,1218.0,,,,,,,,,,,,,,,,,,,,,,,,941.0,,,,,,,,788.0
zone_16,,,,,,,,,,,,,,,,,,1480.0,,,,,,,,,,1400.0,,,,,,918.0,,,1456.0,,,,,611.0,,,,,,,,,,,,838.0,,,,,,,,,,,,,,,,1348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,
zone_20,,,,,,,,,,,,,,,,,,,,,,,,615.0,,,904.0,,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0,,,,,,,,,,,,,280.0,,,,,,,,,,
zone_18,,,,1100.0,1159.0,,,,,,,,,,,,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.0,,,,,,766.0,,1279.0,,,1042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.0
